synonyms	ec_number	recommended_name
aldehyde dehydrogenase (acylating)	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
CoA-dependent aldehyde dehydrogenase	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
acetyl-CoA reductase	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
coenzyme A linked aldehyde dehydrogenase	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
Acetaldehyde dehydrogenase [acetylating]	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
NAD+/CoA-dependent aldehyde dehydrogenase	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
DmpF	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
acylating acetaldehyde dehydrogenase	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
MhpF	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
acetaldehyde dehydrogenasefrom Leuconostoc mesenteroides is a bifunctional enzyme possessingalcohol dehydrogenase und acetaldehyde dehydrogenase domains	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
aldehyde dehydrogenase	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
ALDH	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
ACDH	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
BphJ	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
nonphosphorylating acylating aldehyde dehydrogenase	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
gene name	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
DmpFG	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
gene name	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
gene name	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
BAD	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
gene name	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
bifunctional acetaldehyde-alcohol dehydrogenase	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
acetaldehyde-alcohol dehydrogenase	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
ADHES77	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
bifunctional enzyme	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
coenzyme A-acylating aldehyde dehydrogenase	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
CoA-acylating aldehyde dehydrogenase	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
gene name	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
gene name	1.2.1.10	acetaldehyde dehydrogenase (acetylating)
gene name	1.2.1.100	5-formyl-3-hydroxy-2-methylpyridine 4-carboxylic acid 5-dehydrogenase
mlr6793	1.2.1.100	5-formyl-3-hydroxy-2-methylpyridine 4-carboxylic acid 5-dehydrogenase
dehydrogenase, aspartate semialdehyde	1.2.1.11	aspartate-semialdehyde dehydrogenase
aspartic semialdehyde dehydrogenase	1.2.1.11	aspartate-semialdehyde dehydrogenase
L-aspartate-beta-semialdehyde:NADP oxidoreductase (phosphorylating)	1.2.1.11	aspartate-semialdehyde dehydrogenase
aspartic beta-semialdehyde dehydrogenase	1.2.1.11	aspartate-semialdehyde dehydrogenase
ASA dehydrogenase	1.2.1.11	aspartate-semialdehyde dehydrogenase
ASA DH	1.2.1.11	aspartate-semialdehyde dehydrogenase
aspartate-semialdehyde dehydrogenase	1.2.1.11	aspartate-semialdehyde dehydrogenase
ASA-DH	1.2.1.11	aspartate-semialdehyde dehydrogenase
aspartyl beta-semialdehyde dehydrogenase	1.2.1.11	aspartate-semialdehyde dehydrogenase
aspartic acid semialdehyde dehydrogenase	1.2.1.11	aspartate-semialdehyde dehydrogenase
aspartyl semialdehyde dehydrogenase	1.2.1.11	aspartate-semialdehyde dehydrogenase
ASADHD	1.2.1.11	aspartate-semialdehyde dehydrogenase
Asd1	1.2.1.11	aspartate-semialdehyde dehydrogenase
Asd2	1.2.1.11	aspartate-semialdehyde dehydrogenase
aspartate semialdehyde dehydrogenase	1.2.1.11	aspartate-semialdehyde dehydrogenase
hiASADH	1.2.1.11	aspartate-semialdehyde dehydrogenase
L-aspartate-beta-semialdehyde dehydrogenase	1.2.1.11	aspartate-semialdehyde dehydrogenase
ASD enzyme	1.2.1.11	aspartate-semialdehyde dehydrogenase
Rv3708c	1.2.1.11	aspartate-semialdehyde dehydrogenase
gene name	1.2.1.11	aspartate-semialdehyde dehydrogenase
AsdA	1.2.1.11	aspartate-semialdehyde dehydrogenase
gene name	1.2.1.11	aspartate-semialdehyde dehydrogenase
gene name	1.2.1.11	aspartate-semialdehyde dehydrogenase
gene name	1.2.1.11	aspartate-semialdehyde dehydrogenase
aspartate-beta-semialdehyde dehydrogenase	1.2.1.11	aspartate-semialdehyde dehydrogenase
ecASADH	1.2.1.11	aspartate-semialdehyde dehydrogenase
aspartate beta-semialdehyde dehydrogenase	1.2.1.11	aspartate-semialdehyde dehydrogenase
GAPDH2	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
dihydrogenase, glyceraldehyde phosphate	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
phosphoglyceraldehyde dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
triose phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
3-phosphoglyceraldehyde dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NAD-dependent glyceraldehyde phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
glyceraldehyde phosphate dehydrogenase (NAD)	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
glyceraldehyde-3-phosphate dehydrogenase (NAD)	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NADH-glyceraldehyde phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
glyceraldehyde-3-P-dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
dehydrogenase, glyceraldehyde phosphate	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
TLAb	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
GPD	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NAD-G3PDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
GraP-DH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
Gra3PDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NAD+-G-3-P dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
BARS-38	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
CP 17/CP 18	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
Larval antigen OVB95	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
Major larval surface antigen	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
P-37	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
Plasmin receptor	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
Plasminogen-binding protein	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
AsGAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
gene name	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
gene name	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
GAPDH1	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
GAP1	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
glyceraldehyde-3-phosphate dehydrogenase 1	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
sperm-specific GADPH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
D-glyceraldehyde-3-phosphatedehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
somatic isoenzyme ofglyceraldehyde-3-phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
gap2	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NAD-dependent glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
gene name	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
gene name	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
glyceraldehyde-3-phosphate dehydrogenase-spermatogenic proteinGAPDHS	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
Mtb-GAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
gene name	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
FhGAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
GAPDH3	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
G3PD	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
HsGAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
complement-C3-binding protein	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
H.c-C3BP	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
PyGapdh	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
GBS GAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
D-glyceraldehyde-3-phosphate: NAD+ oxidoreductase(phosphorylating)	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
TDH1	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
TDH2	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
gene name	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
cytosolic NAD-dependent glyceraldehyde 3-P dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
rmGAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
phosphorylating NAD+-dependent GAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
AnBn-GAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
A4-GAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
resulting from the fusion of GapA with the C-terminalhalf of the regulatory peptide CP12	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
AB-GAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
A4-glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
GapC-1	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NAD-GAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
GAPCp	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
plastidial glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
isozyme	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
isozyme	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
GAPN	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NAD-dependent non-phosphorylating glyceraldehyde-3-phosphatedehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NAD-dependent phosphorylating glyceraldehyde-3-phosphatedehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
formerly referred to as p37	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
PfGAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
pmGAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
GAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NAD+-dependent glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
UDG	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
uracil-DNA glycosylase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
GADPH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
somatic GAPD	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
somatic glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
cytosolic phosphorylating glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
GAPC	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
sperm-specific glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
sperm-specific GAPDS	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
glyceraldehyde-3-phosphate dehydrogenase-spermatogenic protein	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
glyceraldehyde 3-phosphate dehydrogenase-S	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
GAPDHS	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
sperm-specific glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
glyceraldehyde-3 phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
G3PDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
gene name	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NAD+-dependent glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NAD+-dependent GAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
NAD+-GAPDH	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
dehydrogenase, glyceraldehyde phosphate (nicotinamide adeninedinucleotide phosphate phosphorylating)	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
glyceraldehyde 3-phosphate dehydrogenase (NADP)	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
glyceraldehyde phosphate dehydrogenase (nicotinamide adeninedinucleotide phosphate phosphorylating)	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
glyceraldehyde-P dehydrogenase	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
NAD(P)-GAPDH	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
NADP-dependent glyceraldehyde phosphate dehydrogenase	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
NADP-glyceraldehyde-3-phosphate dehydrogenase	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
NADP-glyceraldehyde phosphate dehydrogenase	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
NADP-triose phosphate dehydrogenase	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
NADP+-dependent G-3-P dehydrogenase	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
NADP-GPD	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
NADPH-D-GA3P	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
triosephosphate dehydrogenase (NADP+)	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
NADP-dependent glyceraldehydephosphate dehydrogenase	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
NADP-dependent glyceraldehyde 3-phosphate dehydrogenase	1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
