synonyms	ec_number	recommended_name
Racemase, alanine	5.1.1.1	alanine racemase
L-Alanine racemase	5.1.1.1	alanine racemase
L-Alanine:D-alanine racemase	5.1.1.1	alanine racemase
DadB	5.1.1.1	alanine racemase
ALR	5.1.1.1	alanine racemase
tAlaRac	5.1.1.1	alanine racemase
alanine	5.1.1.1	alanine racemase
AlrA	5.1.1.1	alanine racemase
EcAlr	5.1.1.1	alanine racemase
BA0252	5.1.1.1	alanine racemase
BAS0238	5.1.1.1	alanine racemase
AlrBax	5.1.1.1	alanine racemase
dal1	5.1.1.1	alanine racemase
dadXOF4	5.1.1.1	alanine racemase
EfAlaR	5.1.1.1	alanine racemase
D-alanine racemase	5.1.1.1	alanine racemase
OEOE_1641	5.1.1.1	alanine racemase
MBAlr2	5.1.1.1	alanine racemase
PDB	5.1.1.1	alanine racemase
1SFT	5.1.1.1	alanine racemase
AlaR	5.1.1.1	alanine racemase
DadX	5.1.1.1	alanine racemase
Racemase, amino acid	5.1.1.10	amino-acid racemase
L-Amino acid racemase	5.1.1.10	amino-acid racemase
broad specificity amino acid racemase	5.1.1.10	amino-acid racemase
amino-acid racemase	5.1.1.10	amino-acid racemase
amino acid racemase	5.1.1.10	amino-acid racemase
DAR1	5.1.1.10	amino-acid racemase
D-amino acid racemase 1	5.1.1.10	amino-acid racemase
N-succinylamino acid racemase	5.1.1.10	amino-acid racemase
NSAR	5.1.1.10	amino-acid racemase
GkNSAAR	5.1.1.10	amino-acid racemase
ArgR	5.1.1.10	amino-acid racemase
Racemase, phenylalanine	5.1.1.11	phenylalanine racemase (ATP-hydrolysing)
Phenylalanine racemase	5.1.1.11	phenylalanine racemase (ATP-hydrolysing)
Phenylalanine racemase	5.1.1.11	phenylalanine racemase (ATP-hydrolysing)
Phenylalanine racemase	5.1.1.11	phenylalanine racemase (ATP-hydrolysing)
GS I	5.1.1.11	phenylalanine racemase (ATP-hydrolysing)
PheATE	5.1.1.11	phenylalanine racemase (ATP-hydrolysing)
Gramicidin S synthetase I	5.1.1.11	phenylalanine racemase (ATP-hydrolysing)
GrsA	5.1.1.11	phenylalanine racemase (ATP-hydrolysing)
Racemase, ornithine	5.1.1.12	ornithine racemase
L-ornithine racemase	5.1.1.12	ornithine racemase
or-5	5.1.1.12	ornithine racemase
Racemase, aspartate	5.1.1.13	aspartate racemase
Aspartate racemase	5.1.1.13	aspartate racemase
AspR	5.1.1.13	aspartate racemase
P. AspR	5.1.1.13	aspartate racemase
PhAspR	5.1.1.13	aspartate racemase
D-Aspartate racemase	5.1.1.13	aspartate racemase
D-Asp racemase	5.1.1.13	aspartate racemase
Asp racemase	5.1.1.13	aspartate racemase
