synonyms	ec_number	recommended_name
Mutase, lysolecithin acyl-	5.4.1.1	Lysolecithin acylmutase
Lysolecithin migratase	5.4.1.1	Lysolecithin acylmutase
MCT	5.4.1.3	2-methylfumaryl-CoA isomerase
mesaconyl-CoA C1-C4 CoA transferase	5.4.1.3	2-methylfumaryl-CoA isomerase
GLI	5.4.1.4	D-galactarolactone isomerase
DPGM	5.4.2.1	phosphoglycerate mutase
PGM	5.4.2.1	phosphoglycerate mutase
iPGM	5.4.2.1	phosphoglycerate mutase
independent PGM	5.4.2.1	phosphoglycerate mutase
glucosamine phosphomutase	5.4.2.10	phosphoglucosamine mutase
aminodeoxyglucose phosphate phosphomutase	5.4.2.10	phosphoglucosamine mutase
PNGM	5.4.2.10	phosphoglucosamine mutase
GlmM	5.4.2.10	phosphoglucosamine mutase
phosphoglucosamine mutase	5.4.2.10	phosphoglucosamine mutase
MMP1077	5.4.2.10	phosphoglucosamine mutase
Rv3214	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
EntD	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
PGAM2	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
Sts-1	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
phosphoglycerate mutase 1	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
PGAM1	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
2,3-bisphosphoglycerate-dependent PGAM	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
SSO2236	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
dPGAM	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
cofactor-dependent phosphoglycerate mutase	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
DPGM	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
B-type PGM	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
dPGM-B	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
phosphoglycerate mutase	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
PGM	5.4.2.11	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
