synonyms	ec_number	recommended_name
Isomerase, triose phosphate	5.3.1.1	triose-phosphate isomerase
Phosphotriose isomerase	5.3.1.1	triose-phosphate isomerase
Triose phosphoisomerase	5.3.1.1	triose-phosphate isomerase
Triose phosphate mutase	5.3.1.1	triose-phosphate isomerase
vTIM	5.3.1.1	triose-phosphate isomerase
Triosephosphate mutase	5.3.1.1	triose-phosphate isomerase
monoTIM	5.3.1.1	triose-phosphate isomerase
CP 25	5.3.1.1	triose-phosphate isomerase
Lactacin B inducer protein	5.3.1.1	triose-phosphate isomerase
D-glyceraldehyde-3-phosphate ketol-isomerase	5.3.1.1	triose-phosphate isomerase
Triosephosphateisomerase	5.3.1.1	triose-phosphate isomerase
TIM	5.3.1.1	triose-phosphate isomerase
PfuTIM	5.3.1.1	triose-phosphate isomerase
GlTIM	5.3.1.1	triose-phosphate isomerase
TcTIM	5.3.1.1	triose-phosphate isomerase
PfTIM	5.3.1.1	triose-phosphate isomerase
TpI	5.3.1.1	triose-phosphate isomerase
cytoplasmic TPI	5.3.1.1	triose-phosphate isomerase
cTPI	5.3.1.1	triose-phosphate isomerase
cytoplasmic triosephosphate isomerase	5.3.1.1	triose-phosphate isomerase
plastidic triosephosphate isomerase	5.3.1.1	triose-phosphate isomerase
plastidic TPI	5.3.1.1	triose-phosphate isomerase
pTPI	5.3.1.1	triose-phosphate isomerase
cytoTPI	5.3.1.1	triose-phosphate isomerase
locus name	5.3.1.1	triose-phosphate isomerase
TonTIM	5.3.1.1	triose-phosphate isomerase
Triose phosphate isomerase	5.3.1.1	triose-phosphate isomerase
Uronic isomerase	5.3.1.12	glucuronate isomerase
Isomerase, glucuronate	5.3.1.12	glucuronate isomerase
D-Glucuronate isomerase	5.3.1.12	glucuronate isomerase
D-glucuronate ketol-isomerase	5.3.1.12	glucuronate isomerase
URI	5.3.1.12	glucuronate isomerase
Bh0493	5.3.1.12	glucuronate isomerase
URI is a member of the amidohydrolase superfamily,AHS	5.3.1.12	glucuronate isomerase
URI	5.3.1.12	glucuronate isomerase
Glucuronate isomerase	5.3.1.12	glucuronate isomerase
UxaC	5.3.1.12	glucuronate isomerase
Arabinose phosphate isomerase, arabinose phosphate	5.3.1.13	arabinose-5-phosphate isomerase
Arabinose phosphate isomerase	5.3.1.13	arabinose-5-phosphate isomerase
Isomerase, arabinose phosphate	5.3.1.13	arabinose-5-phosphate isomerase
Phosphoarabinoisomerase	5.3.1.13	arabinose-5-phosphate isomerase
D-arabinose-5-phosphate ketol-isomerase	5.3.1.13	arabinose-5-phosphate isomerase
GutQ	5.3.1.13	arabinose-5-phosphate isomerase
arabinose 5-phosphate isomerase	5.3.1.13	arabinose-5-phosphate isomerase
c3406 protein	5.3.1.13	arabinose-5-phosphate isomerase
A5P isomerase	5.3.1.13	arabinose-5-phosphate isomerase
API	5.3.1.13	arabinose-5-phosphate isomerase
KdsD	5.3.1.13	arabinose-5-phosphate isomerase
gene	5.3.1.13	arabinose-5-phosphate isomerase
D-Arabinose 5-phosphate isomerase	5.3.1.13	arabinose-5-phosphate isomerase
D-arabinose-5P isomerase	5.3.1.13	arabinose-5-phosphate isomerase
gene	5.3.1.13	arabinose-5-phosphate isomerase
arabinose-5-phosphate isomerase	5.3.1.13	arabinose-5-phosphate isomerase
D-arabinose-5-phosphate isomerase	5.3.1.13	arabinose-5-phosphate isomerase
A5PI	5.3.1.13	arabinose-5-phosphate isomerase
capsular K-antigen related API	5.3.1.13	arabinose-5-phosphate isomerase
KPSF protein	5.3.1.13	arabinose-5-phosphate isomerase
LPS related API	5.3.1.13	arabinose-5-phosphate isomerase
D-glucitol phosphotranferase operon related API	5.3.1.13	arabinose-5-phosphate isomerase
Isomerase, L-rhamnose	5.3.1.14	L-rhamnose isomerase
RhaI	5.3.1.14	L-rhamnose isomerase
L-RI	5.3.1.14	L-rhamnose isomerase
L-rhamnose ketol-isomerase	5.3.1.14	L-rhamnose isomerase
RhaA	5.3.1.14	L-rhamnose isomerase
Rhamnose isomerase	5.3.1.14	L-rhamnose isomerase
L-rhamnose isomerase	5.3.1.14	L-rhamnose isomerase
L-RhI	5.3.1.14	L-rhamnose isomerase
Isomerase, D-lyxose	5.3.1.15	D-lyxose ketol-isomerase
D-lyxose ketol-isomerase	5.3.1.15	D-lyxose ketol-isomerase
D-Lyxose isomerase	5.3.1.15	D-lyxose ketol-isomerase
L-ribose isomerase from Cohnella laevoribosii	5.3.1.15	D-lyxose ketol-isomerase
D-lyxose isomerase from Cohnella laevoribosii	5.3.1.15	D-lyxose ketol-isomerase
YdaE	5.3.1.15	D-lyxose ketol-isomerase
Isomerase,phosphoribosylformiminoaminophosphoribosylimidazolecarboxamide	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
Isomerase, N-(phosphoribosylformimino)aminophosphoribosylimidazolecarboxamide	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
BBM II ketolisomerase	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
1-(5-phosphoribosyl)-5-[(5phosphoribosylamino)methylideneamino)imidazole-4-carboxamideketol-isomerase	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
N'-[(5'-phosphoribosyl)-formimino]-5-aminoimidazole-4-carboxamideribonucleotide isomerase	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
BBM II isomerase	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
eHisA	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
HisA	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
ProFAR isomerase	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
1-(5-phosphoribosyl)-5-[(5phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
tHisA	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
BBMII isomerase	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
phosphoribosyl-5-amino-1-phosphoribosyl-4-imidazolecarboxamideisomerase	5.3.1.16	1-(5-phosphoribosyl)-5-[(5
Isomerase, 4-deoxy-L-threo-5-hexulose uronate	5.3.1.17	5-dehydro-4-deoxy-D-glucuronate isomerase
4-Deoxy-L-threo-5-hexosulose uronic acid isomerase	5.3.1.17	5-dehydro-4-deoxy-D-glucuronate isomerase
DKI isomerase	5.3.1.17	5-dehydro-4-deoxy-D-glucuronate isomerase
4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase	5.3.1.17	5-dehydro-4-deoxy-D-glucuronate isomerase
5-keto 4-deoxyuronate isomerase	5.3.1.17	5-dehydro-4-deoxy-D-glucuronate isomerase
