synonyms	ec_number	recommended_name
dehydrogenase, alanine	1.4.1.1	alanine dehydrogenase
NAD-linked alanine dehydrogenase	1.4.1.1	alanine dehydrogenase
alpha-alanine dehydrogenase	1.4.1.1	alanine dehydrogenase
NAD-dependent alanine dehydrogenase	1.4.1.1	alanine dehydrogenase
alanine oxidoreductase	1.4.1.1	alanine dehydrogenase
NADH-dependent alanine dehydrogenase	1.4.1.1	alanine dehydrogenase
(S)alanine dehydrogenase	1.4.1.1	alanine dehydrogenase
(S)alanine:NAD oxidoreductase	1.4.1.1	alanine dehydrogenase
40 kDa antigen	1.4.1.1	alanine dehydrogenase
TB43	1.4.1.1	alanine dehydrogenase
NAD+ dependent amino acid dehydrogenase	1.4.1.1	alanine dehydrogenase
MtbALD	1.4.1.1	alanine dehydrogenase
ALD	1.4.1.1	alanine dehydrogenase
L-alanine dehydrogenase	1.4.1.1	alanine dehydrogenase
alanine dehydrogenase	1.4.1.1	alanine dehydrogenase
Rv2780	1.4.1.1	alanine dehydrogenase
L-AlaDH	1.4.1.1	alanine dehydrogenase
NAD+-dependent alanine dehydrogenase	1.4.1.1	alanine dehydrogenase
ALADH	1.4.1.1	alanine dehydrogenase
SheAlaDH	1.4.1.1	alanine dehydrogenase
ADH	1.4.1.1	alanine dehydrogenase
PlaAlaDH	1.4.1.1	alanine dehydrogenase
L-Ala dehydrogenase	1.4.1.1	alanine dehydrogenase
locus name	1.4.1.1	alanine dehydrogenase
AldA	1.4.1.1	alanine dehydrogenase
dehydrogenase, glycine	1.4.1.10	glycine dehydrogenase
L-3,5-diaminohexanoate dehydrogenase	1.4.1.11	L-erythro-3,5-diaminohexanoate dehydrogenase
dehydrogenase, L-3,5-diaminohexanoate	1.4.1.11	L-erythro-3,5-diaminohexanoate dehydrogenase
L-erythro-3,5-diaminohexanoate dehydrogenase	1.4.1.11	L-erythro-3,5-diaminohexanoate dehydrogenase
2,4-diaminopentanoic acid C4 dehydrogenase	1.4.1.12	2,4-diaminopentanoate dehydrogenase
2R,4S-2,4-diaminopentanoate dehydrogenase	1.4.1.12	2,4-diaminopentanoate dehydrogenase
DAPDH	1.4.1.12	2,4-diaminopentanoate dehydrogenase
2,4-DAPDH	1.4.1.12	2,4-diaminopentanoate dehydrogenase
EC 2.6.1.53	1.4.1.13	glutamate synthase (NADPH)
synthase, glutamate (reduced nicotinamide adenine dinucleotidephosphate)	1.4.1.13	glutamate synthase (NADPH)
L-glutamate synthase	1.4.1.13	glutamate synthase (NADPH)
L-glutamate synthetase	1.4.1.13	glutamate synthase (NADPH)
glutamate synthetase (NADP)	1.4.1.13	glutamate synthase (NADPH)
glutamine-ketoglutaric aminotransferase	1.4.1.13	glutamate synthase (NADPH)
NADPH-glutamate synthase	1.4.1.13	glutamate synthase (NADPH)
NADPH-linked glutamate synthase	1.4.1.13	glutamate synthase (NADPH)
glutamine amide-2-oxoglutarate aminotransferase (oxidoreductase, NADP)	1.4.1.13	glutamate synthase (NADPH)
L-glutamine:2-oxoglutarate aminotransferase, NADPH oxidizing	1.4.1.13	glutamate synthase (NADPH)
NADPH-GOGAT	1.4.1.13	glutamate synthase (NADPH)
NADPH-dependent glutamate synthase	1.4.1.13	glutamate synthase (NADPH)
NADPH-GltS	1.4.1.13	glutamate synthase (NADPH)
GOGAT	1.4.1.13	glutamate synthase (NADPH)
gltD	1.4.1.13	glutamate synthase (NADPH)
GltS	1.4.1.13	glutamate synthase (NADPH)
GltB1	1.4.1.13	glutamate synthase (NADPH)
GltB2	1.4.1.13	glutamate synthase (NADPH)
EhNO1	1.4.1.13	glutamate synthase (NADPH)
EhNO2	1.4.1.13	glutamate synthase (NADPH)
pGLTZ	1.4.1.13	glutamate synthase (NADPH)
pGLTY1	1.4.1.13	glutamate synthase (NADPH)
pGLTY2	1.4.1.13	glutamate synthase (NADPH)
