synonyms	ec_number	recommended_name
Mg2+-ATPase	7.6.2.1	phospholipid-translocating ATPase
EC 3.6.3.13	7.6.2.1	phospholipid-translocating ATPase
Mg2+-ATPase A	7.6.2.1	phospholipid-translocating ATPase
aminophospholipid flippase 10	7.6.2.1	phospholipid-translocating ATPase
aminophospholipid flippase 11	7.6.2.1	phospholipid-translocating ATPase
aminophospholipid flippase 12	7.6.2.1	phospholipid-translocating ATPase
aminophospholipid translocase VC	7.6.2.1	phospholipid-translocating ATPase
ATPVC	7.6.2.1	phospholipid-translocating ATPase
ATPVD	7.6.2.1	phospholipid-translocating ATPase
HUSSY-20	7.6.2.1	phospholipid-translocating ATPase
phospholipid-translocating ATPase	7.6.2.1	phospholipid-translocating ATPase
ATP phosphohydrolase (phospholipid-flipping)	7.6.2.1	phospholipid-translocating ATPase
aminophospholipid flippase	7.6.2.1	phospholipid-translocating ATPase
ATP8A1	7.6.2.1	phospholipid-translocating ATPase
ABCB1	7.6.2.1	phospholipid-translocating ATPase
functions as an ATP-powered multidrugefflux pump for amphipathic molecules	7.6.2.1	phospholipid-translocating ATPase
ALA3	7.6.2.1	phospholipid-translocating ATPase
ALA9	7.6.2.1	phospholipid-translocating ATPase
ALA12	7.6.2.1	phospholipid-translocating ATPase
ALA10	7.6.2.1	phospholipid-translocating ATPase
ALA11	7.6.2.1	phospholipid-translocating ATPase
ALA8	7.6.2.1	phospholipid-translocating ATPase
ALA7	7.6.2.1	phospholipid-translocating ATPase
ALA4	7.6.2.1	phospholipid-translocating ATPase
ALA5	7.6.2.1	phospholipid-translocating ATPase
ALA2	7.6.2.1	phospholipid-translocating ATPase
aminophospholipid ATPase	7.6.2.1	phospholipid-translocating ATPase
ALA1	7.6.2.1	phospholipid-translocating ATPase
miltefosine transporter	7.6.2.1	phospholipid-translocating ATPase
LdMT	7.6.2.1	phospholipid-translocating ATPase
beta-subunit of LdMT	7.6.2.1	phospholipid-translocating ATPase
aminophospholipid-translocase	7.6.2.1	phospholipid-translocating ATPase
phospholipid-transporting ATPase IB	7.6.2.1	phospholipid-translocating ATPase
P4-type ATPase	7.6.2.1	phospholipid-translocating ATPase
Dnf1	7.6.2.1	phospholipid-translocating ATPase
Drs2 Neo1 family ATPase 1	7.6.2.1	phospholipid-translocating ATPase
Drs2 Neo1 family ATPase 2	7.6.2.1	phospholipid-translocating ATPase
TAT-5	7.6.2.1	phospholipid-translocating ATPase
transbilayer amphipath transporter	7.6.2.1	phospholipid-translocating ATPase
TAT-3	7.6.2.1	phospholipid-translocating ATPase
TAT-6	7.6.2.1	phospholipid-translocating ATPase
erythroid ATP-dependent aminophospholipid transporter	7.6.2.1	phospholipid-translocating ATPase
flippase	7.6.2.1	phospholipid-translocating ATPase
the enzyme belongs to theP-type ATPases	7.6.2.1	phospholipid-translocating ATPase
aminophospholipid translocase	7.6.2.1	phospholipid-translocating ATPase
PS flippase	7.6.2.1	phospholipid-translocating ATPase
TAT-2	7.6.2.1	phospholipid-translocating ATPase
MsbA	7.6.2.1	phospholipid-translocating ATPase
lipid flippase	7.6.2.1	phospholipid-translocating ATPase
Drs2 Neo1 family ATPase 3	7.6.2.1	phospholipid-translocating ATPase
TAT-4	7.6.2.1	phospholipid-translocating ATPase
P-gp	7.6.2.1	phospholipid-translocating ATPase
type II secretion ATPase	7.6.2.1	phospholipid-translocating ATPase
aminophosphoplipid translocase	7.6.2.1	phospholipid-translocating ATPase
MDR3 P-glycoprotein	7.6.2.1	phospholipid-translocating ATPase
ABCB4	7.6.2.1	phospholipid-translocating ATPase
multidrug resistance 3 P-glycoprotein	7.6.2.1	phospholipid-translocating ATPase
ATP9B	7.6.2.1	phospholipid-translocating ATPase
ATP8B4	7.6.2.1	phospholipid-translocating ATPase
ATP8B5	7.6.2.1	phospholipid-translocating ATPase
ATP11B	7.6.2.1	phospholipid-translocating ATPase
EpsE	7.6.2.1	phospholipid-translocating ATPase
ATP8B1	7.6.2.1	phospholipid-translocating ATPase
sperm-specific aminophospholipid transporter andP-type ATPase	7.6.2.1	phospholipid-translocating ATPase
Atp8a2	7.6.2.1	phospholipid-translocating ATPase
ATP10A	7.6.2.1	phospholipid-translocating ATPase
ATP11C	7.6.2.1	phospholipid-translocating ATPase
ATP8B2	7.6.2.1	phospholipid-translocating ATPase
ATP9A	7.6.2.1	phospholipid-translocating ATPase
ATP11A	7.6.2.1	phospholipid-translocating ATPase
ATP10D	7.6.2.1	phospholipid-translocating ATPase
ATP10B	7.6.2.1	phospholipid-translocating ATPase
type IV P-typeATPase	7.6.2.1	phospholipid-translocating ATPase
phospholipid flippase	7.6.2.1	phospholipid-translocating ATPase
ATPase II	7.6.2.1	phospholipid-translocating ATPase
APLT	7.6.2.1	phospholipid-translocating ATPase
phospholipid-translocase	7.6.2.1	phospholipid-translocating ATPase
isoform	7.6.2.1	phospholipid-translocating ATPase
Dnf1p-Lem3p	7.6.2.1	phospholipid-translocating ATPase
