synonyms	ec_number	recommended_name
Tyrosyl-transfer ribonucleate synthetase	6.1.1.1	tyrosine-tRNA ligase
Tyrosyl-transfer RNA synthetase	6.1.1.1	tyrosine-tRNA ligase
Tyrosyl-transfer ribonucleic acid synthetase	6.1.1.1	tyrosine-tRNA ligase
Tyrosyl-tRNA ligase	6.1.1.1	tyrosine-tRNA ligase
Tyrosine-transfer RNA ligase	6.1.1.1	tyrosine-tRNA ligase
Tyrosine-transfer ribonucleate synthetase	6.1.1.1	tyrosine-tRNA ligase
Tyrosine translase	6.1.1.1	tyrosine-tRNA ligase
Tyrosine--tRNA ligase	6.1.1.1	tyrosine-tRNA ligase
Tyrosyl--tRNA ligase	6.1.1.1	tyrosine-tRNA ligase
TYS1	6.1.1.1	tyrosine-tRNA ligase
bifunctional mitochondrialtyrosyl-tRNA synthetase (CYT-18 protein) both aminoacylatesmitochondrial tRNATyr and acts as a structure-stabilizing splicingcofactor for group I introns	6.1.1.1	tyrosine-tRNA ligase
YTS	6.1.1.1	tyrosine-tRNA ligase
CYT-18 protein	6.1.1.1	tyrosine-tRNA ligase
bifunctional, aminoacylates mitochondrial tRNATyrand promotes the splicing of mitochondrial group I introns	6.1.1.1	tyrosine-tRNA ligase
LdTyrRS	6.1.1.1	tyrosine-tRNA ligase
tyrosyl aminoacyl-tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
p-BrPhe TyrRS	6.1.1.1	tyrosine-tRNA ligase
NpAla TyrRS	6.1.1.1	tyrosine-tRNA ligase
tyrosyl—tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
tRNATyr/tyrosyl-tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
tyrosyl synthetase	6.1.1.1	tyrosine-tRNA ligase
MjYRS	6.1.1.1	tyrosine-tRNA ligase
dTyRS	6.1.1.1	tyrosine-tRNA ligase
TyrRS	6.1.1.1	tyrosine-tRNA ligase
Tyrosyl-tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
class I tyrosyl-tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
TyrRZ	6.1.1.1	tyrosine-tRNA ligase
Tyrosine tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
gene name	6.1.1.1	tyrosine-tRNA ligase
TyrRSs	6.1.1.1	tyrosine-tRNA ligase
YRS	6.1.1.1	tyrosine-tRNA ligase
tyrosyl tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
gene name, UniProt	6.1.1.1	tyrosine-tRNA ligase
CHOTyrRS	6.1.1.1	tyrosine-tRNA ligase
N-terminal domain of tyrosyl-tRNAsynthetase	6.1.1.1	tyrosine-tRNA ligase
mini-TyrRS	6.1.1.1	tyrosine-tRNA ligase
YARS	6.1.1.1	tyrosine-tRNA ligase
mt-TyrRS	6.1.1.1	tyrosine-tRNA ligase
hTyrRS	6.1.1.1	tyrosine-tRNA ligase
mitochondrial tyrosyl-tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
hcMetRS	6.1.1.10	methionine-tRNA ligase
hmMetRS	6.1.1.10	methionine-tRNA ligase
methionyl-tRNA synthetase1	6.1.1.10	methionine-tRNA ligase
MetRS1	6.1.1.10	methionine-tRNA ligase
MetRS2	6.1.1.10	methionine-tRNA ligase
gene name	6.1.1.10	methionine-tRNA ligase
gene name	6.1.1.10	methionine-tRNA ligase
isoform	6.1.1.10	methionine-tRNA ligase
isoform	6.1.1.10	methionine-tRNA ligase
MetS	6.1.1.10	methionine-tRNA ligase
MARS	6.1.1.10	methionine-tRNA ligase
methionyl-tRNA-synthetase	6.1.1.10	methionine-tRNA ligase
MetG	6.1.1.10	methionine-tRNA ligase
methionyl-tRNA synthetase	6.1.1.10	methionine-tRNA ligase
MetRS	6.1.1.10	methionine-tRNA ligase
MRS	6.1.1.10	methionine-tRNA ligase
Methionyl tRNAsynthetase	6.1.1.10	methionine-tRNA ligase
Synthetase, methionyl-transferribonucleate	6.1.1.10	methionine-tRNA ligase
Methionyl-transfer ribonucleic acidsynthetase	6.1.1.10	methionine-tRNA ligase
Methionyl-transfer ribonucleatesynthetase	6.1.1.10	methionine-tRNA ligase
Methionine translase	6.1.1.10	methionine-tRNA ligase
Methionine--tRNA ligase	6.1.1.10	methionine-tRNA ligase
Methionyl-transfer RNAsynthetase	6.1.1.10	methionine-tRNA ligase
the enzyme belongs to the class I aminoacyl-tRNAsynthetases	6.1.1.10	methionine-tRNA ligase
mSerRS	6.1.1.11	serine-tRNA ligase
bacterial type seryl-tRNA synthetase	6.1.1.11	serine-tRNA ligase
methanogenic type seryl-tRNA synthetase	6.1.1.11	serine-tRNA ligase
methanogenic SerRS	6.1.1.11	serine-tRNA ligase
bacterial SerRS	6.1.1.11	serine-tRNA ligase
bacterial-type SerRS	6.1.1.11	serine-tRNA ligase
methanogenic-type SerRSs	6.1.1.11	serine-tRNA ligase
methanogenic type	6.1.1.11	serine-tRNA ligase
bacterial type	6.1.1.11	serine-tRNA ligase
methanogenic-type seryl-tRNA synthetase	6.1.1.11	serine-tRNA ligase
methanogenic-type SerRS	6.1.1.11	serine-tRNA ligase
Seryl-tRNA synthetase	6.1.1.11	serine-tRNA ligase
two different types: bacterial-type SerRSand highly divergent SerRS	6.1.1.11	serine-tRNA ligase
SerZMo	6.1.1.11	serine-tRNA ligase
ZmSerS	6.1.1.11	serine-tRNA ligase
seryl-tRNA synthetases	6.1.1.11	serine-tRNA ligase
SvsR	6.1.1.11	serine-tRNA ligase
VlmL	6.1.1.11	serine-tRNA ligase
STS	6.1.1.11	serine-tRNA ligase
SerRS2	6.1.1.11	serine-tRNA ligase
seryl-tRNA synthetase 1	6.1.1.11	serine-tRNA ligase
SerRS1	6.1.1.11	serine-tRNA ligase
seryl-tRNA synthetase 2	6.1.1.11	serine-tRNA ligase
ttSerRS	6.1.1.11	serine-tRNA ligase
gene name	6.1.1.11	serine-tRNA ligase
gene name	6.1.1.11	serine-tRNA ligase
subclass IIa dimeric SerRS	6.1.1.11	serine-tRNA ligase
seryl tRNA synthetase	6.1.1.11	serine-tRNA ligase
seryl-tRNA-synthetase	6.1.1.11	serine-tRNA ligase
tRNASer/seryl-tRNA synthetase	6.1.1.11	serine-tRNA ligase
gene name	6.1.1.11	serine-tRNA ligase
Seryl-transfer RNA synthetase	6.1.1.11	serine-tRNA ligase
Seryl-transfer ribonucleate synthetase	6.1.1.11	serine-tRNA ligase
Seryl-transfer ribonucleic acid synthetase	6.1.1.11	serine-tRNA ligase
Serine translase	6.1.1.11	serine-tRNA ligase
Synthetase, seryl-transfer ribonucleate	6.1.1.11	serine-tRNA ligase
Serine transfer RNA synthetase	6.1.1.11	serine-tRNA ligase
SERSEC	6.1.1.11	serine-tRNA ligase
62 kDa RNA-binding protein	6.1.1.11	serine-tRNA ligase
Serine--tRNA ligase	6.1.1.11	serine-tRNA ligase
SerRSmt	6.1.1.11	serine-tRNA ligase
SCSerS	6.1.1.11	serine-tRNA ligase
mtSerRS	6.1.1.11	serine-tRNA ligase
Aspartyl ribonucleic synthetase	6.1.1.12	aspartate-tRNA ligase
Synthetase, aspartyl-transfer ribonucleate	6.1.1.12	aspartate-tRNA ligase
Antigen T5	6.1.1.12	aspartate-tRNA ligase
Aspartate--tRNA ligase	6.1.1.12	aspartate-tRNA ligase
Asp-RS	6.1.1.12	aspartate-tRNA ligase
Ec AspRS	6.1.1.12	aspartate-tRNA ligase
DRS	6.1.1.12	aspartate-tRNA ligase
mAspRS	6.1.1.12	aspartate-tRNA ligase
HS cyt-AspRS	6.1.1.12	aspartate-tRNA ligase
Hs mt-AspRS	6.1.1.12	aspartate-tRNA ligase
cytoplasmic aspartyl-tRNA synthetase	6.1.1.12	aspartate-tRNA ligase
mitochondrial aspartyl-tRNA synthetase	6.1.1.12	aspartate-tRNA ligase
Bt cyt-AspRS	6.1.1.12	aspartate-tRNA ligase
AspS	6.1.1.12	aspartate-tRNA ligase
gene name	6.1.1.12	aspartate-tRNA ligase
AsnRS	6.1.1.12	aspartate-tRNA ligase
Aspartyl-tRNA synthetase	6.1.1.12	aspartate-tRNA ligase
Pa AspRS	6.1.1.12	aspartate-tRNA ligase
discriminating AspRS	6.1.1.12	aspartate-tRNA ligase
D-AspRS	6.1.1.12	aspartate-tRNA ligase
gene name	6.1.1.12	aspartate-tRNA ligase
locus name	6.1.1.12	aspartate-tRNA ligase
discriminating aspartyl-tRNA synthetase	6.1.1.12	aspartate-tRNA ligase
Tb-AspRS2	6.1.1.12	aspartate-tRNA ligase
hsAspRS	6.1.1.12	aspartate-tRNA ligase
Tb-AspRS1	6.1.1.12	aspartate-tRNA ligase
mmAspRS	6.1.1.12	aspartate-tRNA ligase
mt-AspRS	6.1.1.12	aspartate-tRNA ligase
Drs2	6.1.1.12	aspartate-tRNA ligase
gene name	6.1.1.12	aspartate-tRNA ligase
AspRS	6.1.1.12	aspartate-tRNA ligase
non-discriminating aspartyl-tRNA synthetase	6.1.1.12	aspartate-tRNA ligase
non-discriminating AspRS	6.1.1.12	aspartate-tRNA ligase
Aspartyl-transfer RNA synthetase	6.1.1.12	aspartate-tRNA ligase
Aspartic acid translase	6.1.1.12	aspartate-tRNA ligase
Aspartyl-transfer ribonucleic acidsynthetase	6.1.1.12	aspartate-tRNA ligase
Aspartyl ribonucleate synthetase	6.1.1.12	aspartate-tRNA ligase
aspartyl ribonuleic synthetase	6.1.1.12	aspartate-tRNA ligase
D-Alanyl-poly-(phosphoribitol) synthetase	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
D-Alanine: membrane acceptor ligase	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
D-Alanine-membrane acceptor ligase	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
D-Alanine-activating enzyme	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
DAE	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
Dlt	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
DCP	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
D-alanyl carrier protein	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
DltC	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
Dcl	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
GARS	6.1.1.14	glycine-tRNA ligase
the enzyme belongs to the class II of aminoacyl-tRNAsynthetases	6.1.1.14	glycine-tRNA ligase
gene name	6.1.1.14	glycine-tRNA ligase
glycyl-tRNA synthetase 1	6.1.1.14	glycine-tRNA ligase
glycyl tRNA synthetase	6.1.1.14	glycine-tRNA ligase
GlyRS	6.1.1.14	glycine-tRNA ligase
Glycyl-tRNA synthetase	6.1.1.14	glycine-tRNA ligase
