synonyms	ec_number	recommended_name
L-Selenocysteine-tRNASel synthase	2.9.1.1	L-seryl-tRNASec selenium transferase
L-Selenocysteine-tRNASec synthase selenocysteine synthase	2.9.1.1	L-seryl-tRNASec selenium transferase
CysteinyltRNASel-selenium transferase	2.9.1.1	L-seryl-tRNASec selenium transferase
Cysteinyl-tRNASec-selenium transferase	2.9.1.1	L-seryl-tRNASec selenium transferase
Synthase, selenocysteinyl-transfer ribonucleate	2.9.1.1	L-seryl-tRNASec selenium transferase
Selenocysteine-tRNA synthase	2.9.1.1	L-seryl-tRNASec selenium transferase
Synthase, selenocysteine (Moorella thermoacetica clone pCTA100/pCTAB1gene selA)	2.9.1.1	L-seryl-tRNASec selenium transferase
GenBank Y14814-derived protein GI 2440135	2.9.1.1	L-seryl-tRNASec selenium transferase
Selenocysteine synthase (Moorella thermoacetica strain DSM521 clonepCTA 100/pCTAB1 gene selA)	2.9.1.1	L-seryl-tRNASec selenium transferase
Cysteinyl-tRNA(Sec) selenium transferase	2.9.1.1	L-seryl-tRNASec selenium transferase
Selenocysteinyl-tRNA(Sec) synthase	2.9.1.1	L-seryl-tRNASec selenium transferase
SecS is a member of the fold type I family ofPLP-dependent enzymes with distinct structural elements	2.9.1.1	L-seryl-tRNASec selenium transferase
Selenocysteine synthase	2.9.1.1	L-seryl-tRNASec selenium transferase
Sec synthase	2.9.1.1	L-seryl-tRNASec selenium transferase
SecS	2.9.1.1	L-seryl-tRNASec selenium transferase
soluble liver antigen	2.9.1.1	L-seryl-tRNASec selenium transferase
SLA	2.9.1.1	L-seryl-tRNASec selenium transferase
SelA	2.9.1.1	L-seryl-tRNASec selenium transferase
Selenocysteinyl-tRNA synthase	2.9.1.1	L-seryl-tRNASec selenium transferase
selA gene product	2.9.1.1	L-seryl-tRNASec selenium transferase
SepSecS	2.9.1.2	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase
Sep tRNA: Sec synthase	2.9.1.2	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase
O-phosphoserine tRNA: selenocysteine synthase	2.9.1.2	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase
O-phosphoseryl-tRNA:selenocysteinyl-tRNA synthase	2.9.1.2	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase
SLA/LP	2.9.1.2	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase
MMPSepSecS	2.9.1.2	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase
SelA	2.9.1.2	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase
Selenocysteinyl-tRNA synthase	2.9.1.2	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase
