synonyms	ec_number	recommended_name
PcIDS1	2.5.1.1	dimethylallyltranstransferase
gene name	2.5.1.1	dimethylallyltranstransferase
(E)-geranyl diphosphate synthase	2.5.1.1	dimethylallyltranstransferase
farnesyl diphosphate synthase	2.5.1.1	dimethylallyltranstransferase
FPPS	2.5.1.1	dimethylallyltranstransferase
geranyl diphosphate synthase	2.5.1.1	dimethylallyltranstransferase
bifunctional enzyme	2.5.1.1	dimethylallyltranstransferase
isoform	2.5.1.1	dimethylallyltranstransferase
isoform	2.5.1.1	dimethylallyltranstransferase
isoprenyl diphosphate synthase	2.5.1.1	dimethylallyltranstransferase
IDS	2.5.1.1	dimethylallyltranstransferase
GPPS	2.5.1.1	dimethylallyltranstransferase
GPP synthase	2.5.1.1	dimethylallyltranstransferase
geranylgeranyl pyrophosphate synthase	2.5.1.1	dimethylallyltranstransferase
IdsA	2.5.1.1	dimethylallyltranstransferase
GPP (C5) synthase	2.5.1.1	dimethylallyltranstransferase
AnaPT	2.5.1.1	dimethylallyltranstransferase
dimethylallyl transferase	2.5.1.1	dimethylallyltranstransferase
FgaPT2	2.5.1.1	dimethylallyltranstransferase
geranyl pyrophosphate synthase	2.5.1.1	dimethylallyltranstransferase
prenyltransferase	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
geranyl transferase I	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
farnesyl pyrophosphate synthetase	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
farnesylpyrophosphate synthetase	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
geranyltranstransferase	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
omega,E,E-farnesyl diphosphate synthase	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
omega,E,E-FPP	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
FDPSase	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
type I farnesyl diphosphate synthase	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
PcIDS1	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
E-farnesyl diphosphate synthase	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
E-FPP synthase	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
gene name	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
Toxoplasmagondii possesses a bifunctional farnesyl diphosphate/geranylgeranyldiphosphate synthase	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
gene name	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
isoform	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
farnesyl diphosphate synthase 1	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
farnesyl diphosphate synthase 2	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
farnesyl-diphosphate synthase	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
FPS	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
FPP synthase	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
isoform	2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
