synonyms	ec_number	recommended_name
chelatase, ferro-	4.99.1.1	protoporphyrin ferrochelatase
chelatase, ferro-protoporphyrin	4.99.1.1	protoporphyrin ferrochelatase
iron chelatase	4.99.1.1	protoporphyrin ferrochelatase
heme synthetase	4.99.1.1	protoporphyrin ferrochelatase
Protoheme ferro-lyase	4.99.1.1	protoporphyrin ferrochelatase
HEM15	4.99.1.1	protoporphyrin ferrochelatase
isoform	4.99.1.1	protoporphyrin ferrochelatase
isoform	4.99.1.1	protoporphyrin ferrochelatase
protoporphyrin (IX) ferrochelatase	4.99.1.1	protoporphyrin ferrochelatase
gene name	4.99.1.1	protoporphyrin ferrochelatase
PPIX ferrochelatase	4.99.1.1	protoporphyrin ferrochelatase
protohaem ferrolyase	4.99.1.1	protoporphyrin ferrochelatase
type II ferrochelatase	4.99.1.1	protoporphyrin ferrochelatase
FeC	4.99.1.1	protoporphyrin ferrochelatase
host red cell ferrochelatase	4.99.1.1	protoporphyrin ferrochelatase
hFC	4.99.1.1	protoporphyrin ferrochelatase
parasite genome-coded ferrochelatase	4.99.1.1	protoporphyrin ferrochelatase
PfFC	4.99.1.1	protoporphyrin ferrochelatase
protoporhyrin IX ferrochelatase	4.99.1.1	protoporphyrin ferrochelatase
FeCH	4.99.1.1	protoporphyrin ferrochelatase
heme synthase	4.99.1.1	protoporphyrin ferrochelatase
isoform	4.99.1.1	protoporphyrin ferrochelatase
isoform	4.99.1.1	protoporphyrin ferrochelatase
ferrochelatase	4.99.1.1	protoporphyrin ferrochelatase
protoporphyrin IX ferrochelatase	4.99.1.1	protoporphyrin ferrochelatase
protoheme ferrolyase	4.99.1.1	protoporphyrin ferrochelatase
protoheme lyase	4.99.1.1	protoporphyrin ferrochelatase
Mg-dechelatase	4.99.1.10	magnesium dechelatase
gene name	4.99.1.10	magnesium dechelatase
gene name	4.99.1.10	magnesium dechelatase
gene name	4.99.1.10	magnesium dechelatase
gene name	4.99.1.10	magnesium dechelatase
MDS	4.99.1.10	magnesium dechelatase
MCS	4.99.1.10	magnesium dechelatase
CbiXS	4.99.1.11	sirohydrochlorin nickelchelatase
cfbA	4.99.1.11	sirohydrochlorin nickelchelatase
nickel-specific chelatase	4.99.1.11	sirohydrochlorin nickelchelatase
P2TMN nickel chelatase	4.99.1.12	pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase
LarC	4.99.1.12	pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase
lyase, alkylmercury	4.99.1.2	alkylmercury lyase
gene name	4.99.1.2	alkylmercury lyase
organomercury lyase	4.99.1.2	alkylmercury lyase
isoform	4.99.1.2	alkylmercury lyase
alkylmercury mercuric-lyase	4.99.1.2	alkylmercury lyase
organomercurial lyase	4.99.1.2	alkylmercury lyase
isoform	4.99.1.2	alkylmercury lyase
gene name	4.99.1.2	alkylmercury lyase
anaerobic cobalt chelatase	4.99.1.3	sirohydrochlorin cobaltochelatase
CbiK	4.99.1.3	sirohydrochlorin cobaltochelatase
cobalt chelatase	4.99.1.3	sirohydrochlorin cobaltochelatase
CbiXOH	4.99.1.3	sirohydrochlorin cobaltochelatase
the enzyme belongs to the AAA+ superfamily of proteins	4.99.1.3	sirohydrochlorin cobaltochelatase
sirohydrochlorin cobalt-lyase	4.99.1.3	sirohydrochlorin cobaltochelatase
archaeal cobaltochelatase	4.99.1.3	sirohydrochlorin cobaltochelatase
small, single-domain chelatase	4.99.1.3	sirohydrochlorin cobaltochelatase
sirohydrochlorin cobaltochelatase	4.99.1.3	sirohydrochlorin cobaltochelatase
CbiX	4.99.1.3	sirohydrochlorin cobaltochelatase
cobaltochelatase	4.99.1.3	sirohydrochlorin cobaltochelatase
CbiKp	4.99.1.3	sirohydrochlorin cobaltochelatase
CbiKc	4.99.1.3	sirohydrochlorin cobaltochelatase
sirohydrochlorin-ferrochelatase	4.99.1.3	sirohydrochlorin cobaltochelatase
sirohydrochlorin cobalt chelatase	4.99.1.3	sirohydrochlorin cobaltochelatase
cobalamin cobalt chelatase	4.99.1.3	sirohydrochlorin cobaltochelatase
CbiX0H	4.99.1.3	sirohydrochlorin cobaltochelatase
CbiXL	4.99.1.3	sirohydrochlorin cobaltochelatase
Saccharomyces cerevisiae	4.99.1.4	sirohydrochlorin ferrochelatase
member of the class 2 chelatases	4.99.1.4	sirohydrochlorin ferrochelatase
sirohydrochlorin ferrochelatase	4.99.1.4	sirohydrochlorin ferrochelatase
Bacillus megaterium	4.99.1.4	sirohydrochlorin ferrochelatase
Salmonella enterica	4.99.1.4	sirohydrochlorin ferrochelatase
CbiX	4.99.1.4	sirohydrochlorin ferrochelatase
sirohydrochlorin-ferrochelatase	4.99.1.4	sirohydrochlorin ferrochelatase
OxdB	4.99.1.5	aliphatic aldoxime dehydratase
OXD	4.99.1.5	aliphatic aldoxime dehydratase
aliphatic aldoxime dehydratase	4.99.1.5	aliphatic aldoxime dehydratase
OxdRE	4.99.1.5	aliphatic aldoxime dehydratase
OxdA	4.99.1.5	aliphatic aldoxime dehydratase
aldoxime dehydratase	4.99.1.5	aliphatic aldoxime dehydratase
OxdRG	4.99.1.5	aliphatic aldoxime dehydratase
alkylaldoxime dehydratase	4.99.1.5	aliphatic aldoxime dehydratase
OxdK	4.99.1.5	aliphatic aldoxime dehydratase
indoleacetaldoxime hydro-lyase	4.99.1.6	indoleacetaldoxime dehydratase
dehydratase, indoleacetaldoxime	4.99.1.6	indoleacetaldoxime dehydratase
EC 4.2.1.29	4.99.1.6	indoleacetaldoxime dehydratase
IAD	4.99.1.6	indoleacetaldoxime dehydratase
indolyl-3-acetaldoxime dehydratase	4.99.1.6	indoleacetaldoxime dehydratase
protein SS1G-01653	4.99.1.6	indoleacetaldoxime dehydratase
OxdB	4.99.1.7	phenylacetaldoxime dehydratase
OxdRE	4.99.1.7	phenylacetaldoxime dehydratase
OxdFG	4.99.1.7	phenylacetaldoxime dehydratase
OXD	4.99.1.7	phenylacetaldoxime dehydratase
aldoxime dehydratase	4.99.1.7	phenylacetaldoxime dehydratase
phenylacetaldoxime dehydratase	4.99.1.7	phenylacetaldoxime dehydratase
heme-detoxification protein	4.99.1.8	heme ligase
heme detoxification protein	4.99.1.8	heme ligase
HDP	4.99.1.8	heme ligase
alpha-HDP	4.99.1.8	heme ligase
gene name	4.99.1.9	coproporphyrin ferrochelatase
