synonyms	ec_number	recommended_name
amylopectin phosphorylase	2.4.1.1	glycogen phosphorylase
amylophosphorylase	2.4.1.1	glycogen phosphorylase
1,4-alpha-glucan phosphorylase	2.4.1.1	glycogen phosphorylase
glucosan phosphorylase	2.4.1.1	glycogen phosphorylase
granulose phosphorylase	2.4.1.1	glycogen phosphorylase
muscle phosphorylase	2.4.1.1	glycogen phosphorylase
muscle phosphorylase a and b	2.4.1.1	glycogen phosphorylase
phosphorylase, alpha-glucan	2.4.1.1	glycogen phosphorylase
polyphosphorylase	2.4.1.1	glycogen phosphorylase
potato phosphorylase	2.4.1.1	glycogen phosphorylase
cyosolic phosphorylase	2.4.1.1	glycogen phosphorylase
Pho 2	2.4.1.1	glycogen phosphorylase
GPb	2.4.1.1	glycogen phosphorylase
PHO	2.4.1.1	glycogen phosphorylase
SP	2.4.1.1	glycogen phosphorylase
plastidial phosphorylase	2.4.1.1	glycogen phosphorylase
starch phosphorylase	2.4.1.1	glycogen phosphorylase
alpha-glucan phosphorylase	2.4.1.1	glycogen phosphorylase
Pho1	2.4.1.1	glycogen phosphorylase
StP	2.4.1.1	glycogen phosphorylase
CcStP	2.4.1.1	glycogen phosphorylase
tGPGG	2.4.1.1	glycogen phosphorylase
MalP	2.4.1.1	glycogen phosphorylase
maltodextrin phosphorylase	2.4.1.1	glycogen phosphorylase
GlgP	2.4.1.1	glycogen phosphorylase
alphaGP	2.4.1.1	glycogen phosphorylase
myophosphorylase	2.4.1.1	glycogen phosphorylase
GPBB	2.4.1.1	glycogen phosphorylase
glycogen phosphorylase	2.4.1.1	glycogen phosphorylase
glycogen phosphorylase a	2.4.1.1	glycogen phosphorylase
GP b	2.4.1.1	glycogen phosphorylase
phosphorylase a	2.4.1.1	glycogen phosphorylase
active enzyme form	2.4.1.1	glycogen phosphorylase
GPase	2.4.1.1	glycogen phosphorylase
muscle glycogen phosphorylase	2.4.1.1	glycogen phosphorylase
alpha-1,4-glycan phosphorylase	2.4.1.1	glycogen phosphorylase
GPH	2.4.1.1	glycogen phosphorylase
starch phosphorylase H	2.4.1.1	glycogen phosphorylase
alpha-glucan phosphorylase H	2.4.1.1	glycogen phosphorylase
glucan phosphorylase	2.4.1.1	glycogen phosphorylase
stGP	2.4.1.1	glycogen phosphorylase
type L alpha-glucan phosphorylase	2.4.1.1	glycogen phosphorylase
alpha-glucan/maltodextrin phosphorylase	2.4.1.1	glycogen phosphorylase
locus name	2.4.1.1	glycogen phosphorylase
UniProt	2.4.1.1	glycogen phosphorylase
enzyme belongs to the GT-B-fold glycosyltransferasesuperfamily	2.4.1.1	glycogen phosphorylase
phosphorylase b	2.4.1.1	glycogen phosphorylase
RMGPa	2.4.1.1	glycogen phosphorylase
Phb	2.4.1.1	glycogen phosphorylase
rmGPb	2.4.1.1	glycogen phosphorylase
glycogen phosphorylase-a	2.4.1.1	glycogen phosphorylase
GPA	2.4.1.1	glycogen phosphorylase
GP	2.4.1.1	glycogen phosphorylase
glycogen phosphorylase b	2.4.1.1	glycogen phosphorylase
fructosyltransferase, sucrose 6-	2.4.1.10	levansucrase
sucrose 6-fructosyltransferase	2.4.1.10	levansucrase
beta-2,6-fructosyltransferase	2.4.1.10	levansucrase
beta-2,6-fructan:D-glucose 1-fructosyltransferase	2.4.1.10	levansucrase
type 1 levansucrase	2.4.1.10	levansucrase
SacB	2.4.1.10	levansucrase
beta-2,6-fructan: D-glucose-1-fructosyltransferase	2.4.1.10	levansucrase
LEV-Y	2.4.1.10	levansucrase
LevU	2.4.1.10	levansucrase
LSD	2.4.1.10	levansucrase
sucrose:fructan 6-fructosyltransferase	2.4.1.10	levansucrase
6-SFT	2.4.1.10	levansucrase
(2,6)-beta-D-fructan:D-glucose 6-fructosyltransferase	2.4.1.10	levansucrase
Lev	2.4.1.10	levansucrase
levanase-sucrase	2.4.1.10	levansucrase
LevJ	2.4.1.10	levansucrase
LsdA	2.4.1.10	levansucrase
m1ft	2.4.1.10	levansucrase
FTF	2.4.1.10	levansucrase
Lsc3	2.4.1.10	levansucrase
sucrose:2,6-beta-D-fructan:6-beta-D-fructosyltransferase	2.4.1.10	levansucrase
Lsc-3	2.4.1.10	levansucrase
endolevanase	2.4.1.10	levansucrase
LevB1	2.4.1.10	levansucrase
6G-FFT2	2.4.1.10	levansucrase
Lsc	2.4.1.10	levansucrase
Lsc2	2.4.1.10	levansucrase
LscA	2.4.1.10	levansucrase
levansucrase	2.4.1.10	levansucrase
M1FT protein	2.4.1.10	levansucrase
LvnS	2.4.1.10	levansucrase
fructosyltransferase, 1,2-beta-D-fructan 1F-	2.4.1.100	2,1-fructan:2,1-fructan 1-fructosyltransferase
fructan:fructan fructosyl transferase	2.4.1.100	2,1-fructan:2,1-fructan 1-fructosyltransferase
FFT	2.4.1.100	2,1-fructan:2,1-fructan 1-fructosyltransferase
1,2-beta-fructan 1F-fructosyltransferase	2.4.1.100	2,1-fructan:2,1-fructan 1-fructosyltransferase
