Synonyms	EC_Number	Recommended_name
Tyrosyl-transfer ribonucleate synthetase	6.1.1.1	tyrosine-tRNA ligase
Tyrosyl-transfer RNA synthetase	6.1.1.1	tyrosine-tRNA ligase
Tyrosyl-transfer ribonucleic acid synthetase	6.1.1.1	tyrosine-tRNA ligase
Tyrosyl-tRNA ligase	6.1.1.1	tyrosine-tRNA ligase
Tyrosine-transfer RNA ligase	6.1.1.1	tyrosine-tRNA ligase
Tyrosine-transfer ribonucleate synthetase	6.1.1.1	tyrosine-tRNA ligase
Tyrosine translase	6.1.1.1	tyrosine-tRNA ligase
Tyrosine--tRNA ligase	6.1.1.1	tyrosine-tRNA ligase
Tyrosyl--tRNA ligase	6.1.1.1	tyrosine-tRNA ligase
TYS1	6.1.1.1	tyrosine-tRNA ligase
mtTyrRS	6.1.1.1	tyrosine-tRNA ligase
YTS	6.1.1.1	tyrosine-tRNA ligase
CYT-18 protein	6.1.1.1	tyrosine-tRNA ligase
CYT-18	6.1.1.1	tyrosine-tRNA ligase
tyrosyl aminoacyl-tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
p-BrPhe TyrRS	6.1.1.1	tyrosine-tRNA ligase
NpAla TyrRS	6.1.1.1	tyrosine-tRNA ligase
tyrosyl—tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
tRNATyr/tyrosyl-tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
tyrosyl synthetase	6.1.1.1	tyrosine-tRNA ligase
MjYRS	6.1.1.1	tyrosine-tRNA ligase
dTyRS	6.1.1.1	tyrosine-tRNA ligase
TyrRS	6.1.1.1	tyrosine-tRNA ligase
Tyrosyl-tRNA	6.1.1.1	tyrosine-tRNA ligase
TyrRZ	6.1.1.1	tyrosine-tRNA ligase
Tyrosine tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
TyrRSs	6.1.1.1	tyrosine-tRNA ligase
tyrosyl tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
mini-tyrosyl-tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
mini-TyrRS	6.1.1.1	tyrosine-tRNA ligase
YARS	6.1.1.1	tyrosine-tRNA ligase
mt-TyrRS	6.1.1.1	tyrosine-tRNA ligase
mitochondrial tyrosyl-tRNA synthetase	6.1.1.1	tyrosine-tRNA ligase
hcMetRS	6.1.1.10	methionine-tRNA ligase
hmMetRS	6.1.1.10	methionine-tRNA ligase
methionyl-tRNA synthetase1	6.1.1.10	methionine-tRNA ligase
MetRS1	6.1.1.10	methionine-tRNA ligase
MetRS2	6.1.1.10	methionine-tRNA ligase
MetS	6.1.1.10	methionine-tRNA ligase
MARS	6.1.1.10	methionine-tRNA ligase
MRS	6.1.1.10	methionine-tRNA ligase
5,6,8,9,10,12,14,15,17,19,20,21,22,23,25,27,28,29,32,33,34,35,36,37,38	6.1.1.10	methionine-tRNA ligase
methionyl-tRNA	6.1.1.10	methionine-tRNA ligase
Methionyl tRNA	6.1.1.10	methionine-tRNA ligase
Synthetase, methionyl-transfer	6.1.1.10	methionine-tRNA ligase
Methionyl-transfer ribonucleic acid	6.1.1.10	methionine-tRNA ligase
Methionyl-transfer ribonucleate	6.1.1.10	methionine-tRNA ligase
Methionyl-transfer RNA synthetase	6.1.1.10	methionine-tRNA ligase
Methionine translase	6.1.1.10	methionine-tRNA ligase
Methionine--tRNA ligase	6.1.1.10	methionine-tRNA ligase
More	6.1.1.10	methionine-tRNA ligase
mSerRS	6.1.1.11	serine-tRNA ligase
bacterial type seryl-tRNA synthetase	6.1.1.11	serine-tRNA ligase
methanogenic type seryl-tRNA synthetase	6.1.1.11	serine-tRNA ligase
methanogenic SerRS	6.1.1.11	serine-tRNA ligase
bacterial SerRS	6.1.1.11	serine-tRNA ligase
bacterial-type SerRS	6.1.1.11	serine-tRNA ligase
methanogenic-type SerRSs	6.1.1.11	serine-tRNA ligase
mMbSerRS	6.1.1.11	serine-tRNA ligase
bMbSerRS	6.1.1.11	serine-tRNA ligase
methanogenic-type seryl-tRNA synthetase	6.1.1.11	serine-tRNA ligase
methanogenic-type SerRS	6.1.1.11	serine-tRNA ligase
SerZMo	6.1.1.11	serine-tRNA ligase
ZmSerS	6.1.1.11	serine-tRNA ligase
seryl-tRNA synthetases	6.1.1.11	serine-tRNA ligase
SvsR	6.1.1.11	serine-tRNA ligase
VlmL	6.1.1.11	serine-tRNA ligase
SerRS2	6.1.1.11	serine-tRNA ligase
STS	6.1.1.11	serine-tRNA ligase
seryl-tRNA synthetase 1	6.1.1.11	serine-tRNA ligase
SerRS1	6.1.1.11	serine-tRNA ligase
seryl-tRNA synthetase 2	6.1.1.11	serine-tRNA ligase
seryl-tRNA-synthetase	6.1.1.11	serine-tRNA ligase
tRNASer/seryl-tRNA synthetase	6.1.1.11	serine-tRNA ligase
Seryl-transfer RNA synthetase	6.1.1.11	serine-tRNA ligase
Seryl-transfer ribonucleate synthetase	6.1.1.11	serine-tRNA ligase
Seryl-transfer ribonucleic acid synthetase	6.1.1.11	serine-tRNA ligase
Serine translase	6.1.1.11	serine-tRNA ligase
Synthetase, seryl-transfer ribonucleate	6.1.1.11	serine-tRNA ligase
Serine transfer RNA synthetase	6.1.1.11	serine-tRNA ligase
SERSEC	6.1.1.11	serine-tRNA ligase
62 kDa RNA-binding protein	6.1.1.11	serine-tRNA ligase
Serine--tRNA ligase	6.1.1.11	serine-tRNA ligase
SerRSmt	6.1.1.11	serine-tRNA ligase
SCSerS	6.1.1.11	serine-tRNA ligase
mtSerRS	6.1.1.11	serine-tRNA ligase
Aspartyl ribonucleic synthetase	6.1.1.12	aspartate-tRNA ligase
Synthetase, aspartyl-transfer ribonucleate	6.1.1.12	aspartate-tRNA ligase
Antigen T5	6.1.1.12	aspartate-tRNA ligase
Aspartate--tRNA ligase	6.1.1.12	aspartate-tRNA ligase
Asp-RS	6.1.1.12	aspartate-tRNA ligase
Ec AspRS	6.1.1.12	aspartate-tRNA ligase
DRS	6.1.1.12	aspartate-tRNA ligase
mAspRS	6.1.1.12	aspartate-tRNA ligase
HS cyt-AspRS	6.1.1.12	aspartate-tRNA ligase
Hs mt-AspRS	6.1.1.12	aspartate-tRNA ligase
cytoplasmic aspartyl-tRNA synthetase	6.1.1.12	aspartate-tRNA ligase
mitochondrial aspartyl-tRNA synthetase	6.1.1.12	aspartate-tRNA ligase
Bt cyt-AspRS	6.1.1.12	aspartate-tRNA ligase
Pa AspRS	6.1.1.12	aspartate-tRNA ligase
AsnRS	6.1.1.12	aspartate-tRNA ligase
discriminating AspRS	6.1.1.12	aspartate-tRNA ligase
D-AspRS	6.1.1.12	aspartate-tRNA ligase
ASPA	6.1.1.12	aspartate-tRNA ligase
TK0492	6.1.1.12	aspartate-tRNA ligase
discriminating aspartyl-tRNA synthetase	6.1.1.12	aspartate-tRNA ligase
Tb-AspRS2	6.1.1.12	aspartate-tRNA ligase
hsAspRS	6.1.1.12	aspartate-tRNA ligase
Tb-AspRS1	6.1.1.12	aspartate-tRNA ligase
mmAspRS	6.1.1.12	aspartate-tRNA ligase
mt-AspRS	6.1.1.12	aspartate-tRNA ligase
Drs2	6.1.1.12	aspartate-tRNA ligase
DARS2	6.1.1.12	aspartate-tRNA ligase
non-discriminating aspartyl-tRNA synthetase	6.1.1.12	aspartate-tRNA ligase
non-discriminating AspRS	6.1.1.12	aspartate-tRNA ligase
AspRS	6.1.1.12	aspartate-tRNA ligase
Aspartyl-transfer RNA synthetase	6.1.1.12	aspartate-tRNA ligase
Aspartic acid translase	6.1.1.12	aspartate-tRNA ligase
Aspartyl-transfer ribonucleic acid	6.1.1.12	aspartate-tRNA ligase
Aspartyl ribonucleate synthetase	6.1.1.12	aspartate-tRNA ligase
aspartyl ribonuleic synthetase	6.1.1.12	aspartate-tRNA ligase
D-Alanyl-poly-	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
D-Alanine: membrane acceptor ligase	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
D-Alanine-D-alanyl carrier protein ligase	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
D-Alanine-membrane acceptor ligase	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
D-Alanine-activating enzyme	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
DAE	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
BcDltA	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
Dlt	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
D-alanine:D-alanyl carrier protein ligase	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
D-alanine–D-alanyl carrier protein ligase	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
Dcl	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
DCP	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
D-alanyl carrier protein	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
DltC	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
DltA	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
D-alanyl carrier protein ligase	6.1.1.13	D-alanine-poly(phosphoribitol) ligase
GARS	6.1.1.14	glycine-tRNA ligase
More	6.1.1.14	glycine-tRNA ligase
glycyl-tRNA synthetase 1	6.1.1.14	glycine-tRNA ligase
GRS1	6.1.1.14	glycine-tRNA ligase
GlyRS2	6.1.1.14	glycine-tRNA ligase
Glycyl-tRNA synthetase	6.1.1.14	glycine-tRNA ligase
GlyRS	6.1.1.14	glycine-tRNA ligase
Synthetase, glycyl-transfer ribonucleate	6.1.1.14	glycine-tRNA ligase
Glycyl-transfer ribonucleate synthetase	6.1.1.14	glycine-tRNA ligase
Glycyl-transfer RNA synthetase	6.1.1.14	glycine-tRNA ligase
Glycyl-transfer ribonucleic acid synthetase	6.1.1.14	glycine-tRNA ligase
Glycyl translase	6.1.1.14	glycine-tRNA ligase
Glycine--tRNA ligase	6.1.1.14	glycine-tRNA ligase
GlyRS1	6.1.1.14	glycine-tRNA ligase
ProRSTT	6.1.1.15	proline-tRNA ligase
class II prolyl-tRNA synthetase	6.1.1.15	proline-tRNA ligase
More	6.1.1.15	proline-tRNA ligase
glutamyl-prolyl tRNA synthetase	6.1.1.15	proline-tRNA ligase
EPRS	6.1.1.15	proline-tRNA ligase
prolyl tRNA synthetase	6.1.1.15	proline-tRNA ligase
2,15,16,17,19,21,22,25,26,27,28,29,30,31,34,35,36,38,39,40,41,42,43,44	6.1.1.15	proline-tRNA ligase
2,15,16,17,19,21,22,25,26,27,28,29,30,31,34,35,36,38,39,40,41,42,44,48	6.1.1.15	proline-tRNA ligase
Proline	6.1.1.15	proline-tRNA ligase
Pro-tRNA	6.1.1.15	proline-tRNA ligase
