Synonyms	EC_Number	Recommended_name
alpha-Carboxylase	4.1.1.1	pyruvate decarboxylase
Pyruvic decarboxylase	4.1.1.1	pyruvate decarboxylase
alpha-Keto acid carboxylase	4.1.1.1	pyruvate decarboxylase
Decarboxylase, pyruvate	4.1.1.1	pyruvate decarboxylase
8-10 nm cytoplasmic filament-associated protein	4.1.1.1	pyruvate decarboxylase
P59NC	4.1.1.1	pyruvate decarboxylase
PDC2	4.1.1.1	pyruvate decarboxylase
POR	4.1.1.1	pyruvate decarboxylase
KivD	4.1.1.1	pyruvate decarboxylase
2,3,4,9,10,17,21,22,23,24,25,28,31,37,38,39,40,42,43,50,54,56,57,58,59	4.1.1.1	pyruvate decarboxylase
pyruvate decarboxylase	4.1.1.1	pyruvate decarboxylase
ZmPDC	4.1.1.1	pyruvate decarboxylase
PDCZ.m.	4.1.1.1	pyruvate decarboxylase
YPDC	4.1.1.1	pyruvate decarboxylase
PDCS.c.	4.1.1.1	pyruvate decarboxylase
SCPDC	4.1.1.1	pyruvate decarboxylase
pyruvamide-activated yeast pyruvate decarboxylase	4.1.1.1	pyruvate decarboxylase
yeast pyruvate decarboxylase	4.1.1.1	pyruvate decarboxylase
Pdc1p	4.1.1.1	pyruvate decarboxylase
pyruvate decarboxylase 1	4.1.1.1	pyruvate decarboxylase
R-selective pyruvate decarboxylase	4.1.1.1	pyruvate decarboxylase
2-oxo acid carboxylyase	4.1.1.1	pyruvate decarboxylase
PDC1	4.1.1.1	pyruvate decarboxylase
scpdc1	4.1.1.1	pyruvate decarboxylase
Pdc6	4.1.1.1	pyruvate decarboxylase
KlPDC	4.1.1.1	pyruvate decarboxylase
GPDC1	4.1.1.1	pyruvate decarboxylase
NcPDC	4.1.1.1	pyruvate decarboxylase
ZbPDC	4.1.1.1	pyruvate decarboxylase
PDC I	4.1.1.1	pyruvate decarboxylase
PDC II	4.1.1.1	pyruvate decarboxylase
bifunctional pyruvate decarboxylase/pyruvate ferredoxin	4.1.1.1	pyruvate decarboxylase
PDC3	4.1.1.1	pyruvate decarboxylase
PDC4	4.1.1.1	pyruvate decarboxylase
Pdc5	4.1.1.1	pyruvate decarboxylase
ScPDC5	4.1.1.1	pyruvate decarboxylase
TTHA1213	4.1.1.1	pyruvate decarboxylase
IFPL730	4.1.1.1	pyruvate decarboxylase
KviD	4.1.1.1	pyruvate decarboxylase
SalX	4.1.1.100	prephenate decarboxylase
bacA	4.1.1.100	prephenate decarboxylase
non-aromatizing prephenate decarboxylase	4.1.1.100	prephenate decarboxylase
aerD	4.1.1.100	prephenate decarboxylase
mleA	4.1.1.101	malolactic enzyme
mleS	4.1.1.101	malolactic enzyme
ferulic acid decarboxylase	4.1.1.102	phenacrylate decarboxylase
ubiD	4.1.1.102	phenacrylate decarboxylase
FDC1	4.1.1.102	phenacrylate decarboxylase
YDR539W	4.1.1.102	phenacrylate decarboxylase
phenolic acid decarboxylase	4.1.1.102	phenacrylate decarboxylase
Fdc	4.1.1.102	phenacrylate decarboxylase
FADase	4.1.1.102	phenacrylate decarboxylase
TsdA	4.1.1.103	gamma-resorcylate decarboxylase
Rdc	4.1.1.103	gamma-resorcylate decarboxylase
graF	4.1.1.103	gamma-resorcylate decarboxylase
otnC	4.1.1.104	3-dehydro-4-phosphotetronate decarboxylase
Aspartic alpha-decarboxylase	4.1.1.11	aspartate 1-decarboxylase
Dgad2	4.1.1.11	aspartate 1-decarboxylase
ADC	4.1.1.11	aspartate 1-decarboxylase
aspartate-alpha-decarboxylase	4.1.1.11	aspartate 1-decarboxylase
MJ0050	4.1.1.11	aspartate 1-decarboxylase
PLP-dependent L-aspartate decarboxylase	4.1.1.11	aspartate 1-decarboxylase
MfnA	4.1.1.11	aspartate 1-decarboxylase
AspDC	4.1.1.11	aspartate 1-decarboxylase
pyruvoyl-dependent l-aspartate alpha-decarboxylase	4.1.1.11	aspartate 1-decarboxylase
Aspartate alpha-decarboxylase	4.1.1.11	aspartate 1-decarboxylase
PanD	4.1.1.11	aspartate 1-decarboxylase
L-Aspartate-alpha-decarboxylase	4.1.1.11	aspartate 1-decarboxylase
ACD	4.1.1.11	aspartate 1-decarboxylase
aspartate decarboxylase	4.1.1.11	aspartate 1-decarboxylase
More	4.1.1.11	aspartate 1-decarboxylase
MtbADC	4.1.1.11	aspartate 1-decarboxylase
L-Aspartate alpha-decarboxylase	4.1.1.11	aspartate 1-decarboxylase
Desulfinase	4.1.1.12	aspartate 4-decarboxylase
Decarboxylase, aspartate 4-	4.1.1.12	aspartate 4-decarboxylase
Aminomalonic decarboxylase	4.1.1.12	aspartate 4-decarboxylase
Aspartate omega-decarboxylase	4.1.1.12	aspartate 4-decarboxylase
Aspartic omega-decarboxylase	4.1.1.12	aspartate 4-decarboxylase
Aspartic beta-decarboxylase	4.1.1.12	aspartate 4-decarboxylase
L-Cysteine sulfinate acid desulfinase	4.1.1.12	aspartate 4-decarboxylase
Cysteine sulfinic desulfinase	4.1.1.12	aspartate 4-decarboxylase
L-Asparate 4-carboxy-lyase	4.1.1.12	aspartate 4-decarboxylase
EC 4.1.1.10	4.1.1.12	aspartate 4-decarboxylase
PanD	4.1.1.12	aspartate 4-decarboxylase
ADC	4.1.1.12	aspartate 4-decarboxylase
Aspartate beta-decarboxylase	4.1.1.12	aspartate 4-decarboxylase
ABDC	4.1.1.12	aspartate 4-decarboxylase
aspartate-beta-decarboxylase	4.1.1.12	aspartate 4-decarboxylase
aspartate 4-carboxylyase	4.1.1.12	aspartate 4-decarboxylase
L-Aspartate beta-decarboxylase	4.1.1.12	aspartate 4-decarboxylase
Asd	4.1.1.12	aspartate 4-decarboxylase
L-aspartate 4-decarboxylase	4.1.1.12	aspartate 4-decarboxylase
Leucine decarboxylase	4.1.1.14	valine decarboxylase
Decarboxylase, valine	4.1.1.14	valine decarboxylase
Decarboxylase, leucine	4.1.1.14	valine decarboxylase
L-Valine carboxy-lyase	4.1.1.14	valine decarboxylase
Aspartic alpha-decarboxylase	4.1.1.15	glutamate decarboxylase
L-Aspartate-alpha-decarboxylase	4.1.1.15	glutamate decarboxylase
Decarboxylase, glutamate	4.1.1.15	glutamate decarboxylase
Glutamic decarboxylase	4.1.1.15	glutamate decarboxylase
L-Glutamic decarboxylase	4.1.1.15	glutamate decarboxylase
Cysteic acid decarboxylase	4.1.1.15	glutamate decarboxylase
L-Glutamate alpha-decarboxylase	4.1.1.15	glutamate decarboxylase
gamma-Glutamate decarboxylase	4.1.1.15	glutamate decarboxylase
GDCase	4.1.1.15	glutamate decarboxylase
GADCase	4.1.1.15	glutamate decarboxylase
Aspartate 1-decarboxylase	4.1.1.15	glutamate decarboxylase
65 kDa glutamic acid decarboxylase	4.1.1.15	glutamate decarboxylase
67 kDa glutamic acid decarboxylase	4.1.1.15	glutamate decarboxylase
ERT D1	4.1.1.15	glutamate decarboxylase
GAD-65	4.1.1.15	glutamate decarboxylase
GAD-67	4.1.1.15	glutamate decarboxylase
