synonyms	ec_number	recommended_name
More	3.9.1.1	phosphoamidase
creatine phosphatase	3.9.1.1	phosphoamidase
YwlE	3.9.1.2	protein arginine phosphatase
protein histidine phosphatase	3.9.1.3	phosphohistidine phosphatase
PHP	3.9.1.3	phosphohistidine phosphatase
phospho-histidine phosphatase	3.9.1.3	phosphohistidine phosphatase
histidine protein phosphatase	3.9.1.3	phosphohistidine phosphatase
SixA	3.9.1.3	phosphohistidine phosphatase
phosphohistidine phosphatase I	3.9.1.3	phosphohistidine phosphatase
PHPTI	3.9.1.3	phosphohistidine phosphatase
14 kDa phosphohistidine phosphatase	3.9.1.3	phosphohistidine phosphatase
16 kDa protein histidine phosphatase	3.9.1.3	phosphohistidine phosphatase
protein histidine phosphatase 1	3.9.1.3	phosphohistidine phosphatase
PHPT-1	3.9.1.3	phosphohistidine phosphatase
phosphohistidine phosphatase 1	3.9.1.3	phosphohistidine phosphatase
PHPT1	3.9.1.3	phosphohistidine phosphatase
14-kDa phosphohistidine phosphatase	3.9.1.3	phosphohistidine phosphatase
PHP14	3.9.1.3	phosphohistidine phosphatase
protein-histidine phosphatase	3.9.1.3	phosphohistidine phosphatase
phosphopolyhistidine phosphatase	3.9.1.3	phosphohistidine phosphatase
isoform	3.9.1.3	phosphohistidine phosphatase
isoform	3.9.1.3	phosphohistidine phosphatase
phosphohistidine phosphatase	3.9.1.3	phosphohistidine phosphatase
