synonyms	ec_number	recommended_name
pyrophosphatase, inorganic	3.6.1.1	inorganic diphosphatase
Pyrophosphate phospho-hydrolase	3.6.1.1	inorganic diphosphatase
Pyrophosphate phosphohydrolase	3.6.1.1	inorganic diphosphatase
inorganic diphosphatase	3.6.1.1	inorganic diphosphatase
PPA1	3.6.1.1	inorganic diphosphatase
inorganic pyrophosphatase 1	3.6.1.1	inorganic diphosphatase
Pyrophosphate-energized inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
pyrophosphate-energized proton pump	3.6.1.1	inorganic diphosphatase
membrane-bound proton-translocating pyrophosphatase	3.6.1.1	inorganic diphosphatase
V-ATPase	3.6.1.1	inorganic diphosphatase
vacuolar proton pyrophosphatase 1	3.6.1.1	inorganic diphosphatase
vacuolar H+ -ATPase	3.6.1.1	inorganic diphosphatase
single-subunit H+ -PPase	3.6.1.1	inorganic diphosphatase
H+ -translocating PPase	3.6.1.1	inorganic diphosphatase
H+ -PPase	3.6.1.1	inorganic diphosphatase
AVP1	3.6.1.1	inorganic diphosphatase
PYP-1	3.6.1.1	inorganic diphosphatase
membrane-integral inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
miPPase	3.6.1.1	inorganic diphosphatase
acid PPase	3.6.1.1	inorganic diphosphatase
D1C enzyme	3.6.1.1	inorganic diphosphatase
Rv3628	3.6.1.1	inorganic diphosphatase
BT2127	3.6.1.1	inorganic diphosphatase
AtPPsPase1	3.6.1.1	inorganic diphosphatase
vacuolar H	3.6.1.1	inorganic diphosphatase
VHP	3.6.1.1	inorganic diphosphatase
ST2226	3.6.1.1	inorganic diphosphatase
Mthe_0236	3.6.1.1	inorganic diphosphatase
PpaC	3.6.1.1	inorganic diphosphatase
V-PPase	3.6.1.1	inorganic diphosphatase
H+-inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
2,5,6,7,9,20,31,33,35,40,49,50,54,67,82,84,90,97,98,102,103,104,105	3.6.1.1	inorganic diphosphatase
proton-translocating vacuolar PPase	3.6.1.1	inorganic diphosphatase
H+-PPase	3.6.1.1	inorganic diphosphatase
CBS-PPase	3.6.1.1	inorganic diphosphatase
VSP	3.6.1.1	inorganic diphosphatase
Inorganic pyrophosphatases	3.6.1.1	inorganic diphosphatase
H+-translocating inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
ER H+-pyrophosphatase	3.6.1.1	inorganic diphosphatase
vacuolar H+-PPase	3.6.1.1	inorganic diphosphatase
M-PPase	3.6.1.1	inorganic diphosphatase
membrane-integral pyrophosphatase	3.6.1.1	inorganic diphosphatase
vacuolar H+-pyrophosphatase	3.6.1.1	inorganic diphosphatase
vacuolar H+-translocating inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
VP3	3.6.1.1	inorganic diphosphatase
VP2	3.6.1.1	inorganic diphosphatase
VP1	3.6.1.1	inorganic diphosphatase
H	3.6.1.1	inorganic diphosphatase
family II PPase	3.6.1.1	inorganic diphosphatase
family II inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
proton-pumping inorganic	3.6.1.1	inorganic diphosphatase
E-PPase	3.6.1.1	inorganic diphosphatase
EcPpA	3.6.1.1	inorganic diphosphatase
pyrophosphatase	3.6.1.1	inorganic diphosphatase
soluble inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
PPase2	3.6.1.1	inorganic diphosphatase
PPase1	3.6.1.1	inorganic diphosphatase
family I PPase	3.6.1.1	inorganic diphosphatase
soluble pyrophosphatase	3.6.1.1	inorganic diphosphatase
hyperthermophilic inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
Pho-PPase	3.6.1.1	inorganic diphosphatase
phospholysine phosphohistidine inorganic pyrophosphate phosphatase	3.6.1.1	inorganic diphosphatase
LHPPase	3.6.1.1	inorganic diphosphatase
proton-pyrophosphatase	3.6.1.1	inorganic diphosphatase
IPPase	3.6.1.1	inorganic diphosphatase
sPPAse	3.6.1.1	inorganic diphosphatase
