synonyms	ec_number	recommended_name
glycogenase	3.2.1.1	alpha-amylase
endoamylase	3.2.1.1	alpha-amylase
amylase, alpha-	3.2.1.1	alpha-amylase
Buclamase	3.2.1.1	alpha-amylase
Fortizyme	3.2.1.1	alpha-amylase
Amylopsin	3.2.1.1	alpha-amylase
Maxilase	3.2.1.1	alpha-amylase
Amylase THC 250	3.2.1.1	alpha-amylase
Maxamyl	3.2.1.1	alpha-amylase
Thermamyl	3.2.1.1	alpha-amylase
Ptyalin	3.2.1.1	alpha-amylase
Clarase	3.2.1.1	alpha-amylase
Bactosol TK	3.2.1.1	alpha-amylase
Spitase CP 1	3.2.1.1	alpha-amylase
Takatherm	3.2.1.1	alpha-amylase
Pivozin	3.2.1.1	alpha-amylase
Thermolase	3.2.1.1	alpha-amylase
Kleistase L 1	3.2.1.1	alpha-amylase
G 995	3.2.1.1	alpha-amylase
Taka-amylase A	3.2.1.1	alpha-amylase
Alpha-amylase carcinoid	3.2.1.1	alpha-amylase
Amy c6	3.2.1.1	alpha-amylase
Clone 103	3.2.1.1	alpha-amylase
Clone 168	3.2.1.1	alpha-amylase
Clone PHV19	3.2.1.1	alpha-amylase
Clones GRAMY56 and 963	3.2.1.1	alpha-amylase
High pI alpha-amylase	3.2.1.1	alpha-amylase
Isozyme 1B	3.2.1.1	alpha-amylase
Meiotic expression upregulated protein 30	3.2.1.1	alpha-amylase
Pancreatic alpha-amylase	3.2.1.1	alpha-amylase
diastase	3.2.1.1	alpha-amylase
HPA	3.2.1.1	alpha-amylase
human salivary alpha-amylase	3.2.1.1	alpha-amylase
HSA	3.2.1.1	alpha-amylase
commercial preparation	3.2.1.1	alpha-amylase
alpha-amylase HA	3.2.1.1	alpha-amylase
type IX-A	3.2.1.1	alpha-amylase
Amy-FC1	3.2.1.1	alpha-amylase
amylase I	3.2.1.1	alpha-amylase
alpha-amylase I	3.2.1.1	alpha-amylase
PPA	3.2.1.1	alpha-amylase
isozyme	3.2.1.1	alpha-amylase
isozyme	3.2.1.1	alpha-amylase
alpha-amylase PPA	3.2.1.1	alpha-amylase
VAAmy1	3.2.1.1	alpha-amylase
VAAmy2	3.2.1.1	alpha-amylase
alpha-amylase gt	3.2.1.1	alpha-amylase
Ca2+-independent alpha-amylase gt	3.2.1.1	alpha-amylase
AHA	3.2.1.1	alpha-amylase
AMF-3	3.2.1.1	alpha-amylase
1,4-alpha-D-glucan glucanohydrolase and endoamylase	3.2.1.1	alpha-amylase
1,4-alpha-D-glucan glucanohydrolase	3.2.1.1	alpha-amylase
Amy B	3.2.1.1	alpha-amylase
exo-acting intracellular alpha-amylase thatpossesses distinct characteristics from typical alpha-amylases andcyclodextrin-hydrolyzing enzymes such as maltogenic amylase,cyclodextrinase, and neopullulanase	3.2.1.1	alpha-amylase
BSTA	3.2.1.1	alpha-amylase
recombinant protein	3.2.1.1	alpha-amylase
variant of the most thermoactive and thermostablemaltohexaose forming alpha-amylase produced in Geobacillusstearothermophilus sp. US100	3.2.1.1	alpha-amylase
crustacean cardioactive peptide	3.2.1.1	alpha-amylase
CCAP	3.2.1.1	alpha-amylase
ZSA	3.2.1.1	alpha-amylase
alpha-amylase ZSA	3.2.1.1	alpha-amylase
AoA1	3.2.1.1	alpha-amylase
AoA2	3.2.1.1	alpha-amylase
alpha-amylase AOA	3.2.1.1	alpha-amylase
HSAmy	3.2.1.1	alpha-amylase
multiple mutant enzyme	3.2.1.1	alpha-amylase
AmyH	3.2.1.1	alpha-amylase
Amy I	3.2.1.1	alpha-amylase
Amy II	3.2.1.1	alpha-amylase
acid-stable amylase	3.2.1.1	alpha-amylase
neutral amylase	3.2.1.1	alpha-amylase
FORILASE NTL alpha-amylase	3.2.1.1	alpha-amylase
