synonyms	ec_number	recommended_name
colaspase	3.5.1.1	asparaginase
elspar	3.5.1.1	asparaginase
leunase	3.5.1.1	asparaginase
crasnitin	3.5.1.1	asparaginase
alpha-asparaginase	3.5.1.1	asparaginase
DiAsp	3.5.1.1	asparaginase
EcAIII	3.5.1.1	asparaginase
L-asparaginase I	3.5.1.1	asparaginase
EcAII	3.5.1.1	asparaginase
gene name	3.5.1.1	asparaginase
asparaginase II	3.5.1.1	asparaginase
asparaginase	3.5.1.1	asparaginase
L-ASNase	3.5.1.1	asparaginase
L-asparaginase-I	3.5.1.1	asparaginase
ASNase	3.5.1.1	asparaginase
At3g16150	3.5.1.1	asparaginase
ASNase3	3.5.1.1	asparaginase
Helicobacter pylori L-asparaginase	3.5.1.1	asparaginase
L-asparaginase type II	3.5.1.1	asparaginase
gene name	3.5.1.1	asparaginase
14270 ASNase	3.5.1.1	asparaginase
PfA	3.5.1.1	asparaginase
L-asparaginase type III	3.5.1.1	asparaginase
Asn	3.5.1.1	asparaginase
type II L-asparaginase	3.5.1.1	asparaginase
isoform	3.5.1.1	asparaginase
gene name	3.5.1.1	asparaginase
L-asparaginase-II	3.5.1.1	asparaginase
ASNase1	3.5.1.1	asparaginase
ASPG	3.5.1.1	asparaginase
potassium-independent L-asparaginase	3.5.1.1	asparaginase
ASPGA1	3.5.1.1	asparaginase
ASPGB1	3.5.1.1	asparaginase
potassium-dependent asparaginase	3.5.1.1	asparaginase
potassium-independent asparaginase	3.5.1.1	asparaginase
type II	3.5.1.1	asparaginase
SGR ASNase	3.5.1.1	asparaginase
asparagine amidohydrolase	3.5.1.1	asparaginase
Erwinase	3.5.1.1	asparaginase
ErA	3.5.1.1	asparaginase
ECAR-LANS	3.5.1.1	asparaginase
EcaL-ASNase	3.5.1.1	asparaginase
glutaminase-free L-asparaginase	3.5.1.1	asparaginase
L-asparagine amino hydrolase	3.5.1.1	asparaginase
L-asparagine amidohydrolase	3.5.1.1	asparaginase
gene name	3.5.1.1	asparaginase
L-asparaginase II	3.5.1.1	asparaginase
three forms, ASPG I, ASPG II, and ASPG III. ASPG IIshows the highest specific activity	3.5.1.1	asparaginase
